title,artist
Réalité augmentée,Nekfeu
Poseidon,Django
Α. Nwaar Is The New Black,Damso
B. #QuedusaalVie,Damso
Γ. Mosaïque solitaire,Damso
Δ. Dieu ne ment jamais,Damso
Ε. Signaler,Damso
Ζ. Kietu,Damso
Η. Gova,Damso
Θ. Macarena,Damso
Ι. Peur d'être père,"Damso, Youri"
Κ. Kin la belle,Damso
Λ. Lové,Damso
Μ. Noob Saibot,Damso
N. J Respect R,Damso
Ξ. Une âme pour deux,Damso
BLOOD.,Kendrick Lamar
DNA.,Kendrick Lamar
YAH.,Kendrick Lamar
ELEMENT.,Kendrick Lamar
FEEL.,Kendrick Lamar
LOYALTY.,"Kendrick Lamar,"
PRIDE.,Kendrick Lamar
HUMBLE.,Kendrick Lamar
LUST.,Kendrick Lamar
LOVE.,"Kendrick Lamar,"
XXX.,"Kendrick Lamar,"
FEAR.,Kendrick Lamar
GOD.,Kendrick Lamar
DUCKWORTH.,Kendrick Lamar
Humanoïde,Nekfeu
Mauvaise graine,Nekfeu
Squa,Nekfeu
Avant tu riais,"Nekfeu, Clara Luciani"
Esquimaux,"Nekfeu, Népal"
O.D,"Nekfeu, Murkage Dave"
Vinyle,"Nekfeu, Alpha Wann"
Saturne,"Nekfeu, Sneazzy,"
Galatée,Nekfeu
Le regard des gens,"Nekfeu, Nemir, 2zer, ,"
Programmé,Nekfeu
Besoin de sens,"Nekfeu, FRAMAL,"
Nekketsu,"Nekfeu, Crystal Kay"
Réseaux,Niska
Top album,Mister V
Venice,Mister V
Petit déjeuner,Mister V
Deutsche Qualität,"Mister V, Samy Ceezy"
Demain,Mister V
Nightcall,Mister V
Apollo13,"Mister V, Juice"
Bulletproof,Mister V
Space Jam,"Mister V, Hayce Lemsi,"
Gville,"Mister V, Tortoz"
Thérapie,Mister V
Cendrillon,Mister V
Bonobo (Bonus Track),Mister V
Antidote,Travis Scott
the ends,Travis Scott
way back,Travis Scott
through the late night,Travis Scott
beibs in the trap,Travis Scott
sdp interlude,Travis Scott
sweet sweet,Travis Scott
outside,Travis Scott
goosebumps,Travis Scott
first take,Travis Scott
pick up the phone,"Young Thug, Travis Scott"
lose,Travis Scott
guidance,Travis Scott
wonderful,Travis Scott
BUTTERFLY EFFECT,Travis Scott
Ils pensent,Krisy
Magnolia,Playboi Carti
Fêter,Panama Bende
Swimming Pools (Drank),Kendrick Lamar
Brigade fantôme,"Assy, Youv Dee"
Mwaka Moon,"Kalash, Damso"
Vrai négro,13 Block
Numb,Linkin Park
Salé,Niska
rockstar,"Post Malone, 21 Savage"
Malaise,Lomepal
Je pense à toi,Hornet La Frappe
Dark Light,Night Lovell
Madre mia (feat. Ninho),"Sadek, Ninho"
Gucci Gang,Lil Pump
La face cachée de la lune,Senamo
Menace,Kaaris
RPG,Kaaris
Tutoyer le ciel,Lord Esperanza
Zone (feat. Nekfeu & Dizzee Rascal),"Orelsan, Nekfeu,"
Somme,13 Block
Favaro,Zamdane
iRun (feat. Lil Yachty),"PnB Rock, Lil Yachty"
Batman,Jaden
GUMMO,6IX9INE
Tuba Life,"Niska, Booba"
Savon,Le Club
Eye of the Tiger,Survivor
John Lennon,The Underachievers
L$D,A$AP Rocky
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky
Friday,Booba
Drapeau noir,Booba
Trône,Booba
Bouyon,"Booba, GATO"
Magnifique,Booba
Ça va aller,"Booba, Niska, Sidiki Diabaté"
Nougat,Booba
Terrain,Booba
À la folie,Booba
113,"Booba, Damso"
Ridin',Booba
Petite fille,Booba
Je te promets,Johnny Hallyday
Centurion,Booba
Amicalement Vôtre,Guizmo
Vide,13 Block
De l'autre côté (feat. Nekfeu),"Ninho, Nekfeu"
O'kclh,4Keus Gang
Money Trees,"Kendrick Lamar,"
